ID,TEMPO_PERMANENCIA_CLIENTE_MESES,B,C,D,E,G,H,J,OUTROS,TOTAL_DOLAR_FATURADO,TICKET_MEDIO,RECENCIA,FREQUENCIA,VALOR,CHURN
247.0,24.0,0,4,0,0,4,4,4,0,25122.41,6280.6025,3410.0,4.0,5.0,1
248.0,0.0,1,0,0,0,0,0,0,0,1764.0,1764.0,1399.0,1.0,1.0,0
249.0,76.0,24,0,240,24,84,0,60,24,22117.2,1843.1000000000001,2557.0,12.0,20.0,1
250.0,0.0,1,1,1,0,1,0,1,1,9019.64,9019.64,2375.0,1.0,1.0,0
251.0,250.0,400,250,100,175,200,125,225,250,91419.28,3656.7712,457.0,25.0,27.0,1
252.0,20.0,6,3,0,0,3,0,3,0,12291.5,4097.166666666667,1765.0,3.0,3.0,1
253.0,105.0,24,24,0,18,18,0,18,6,20608.28,3434.713333333333,1980.0,6.0,6.0,1
254.0,0.0,0,0,4,0,0,0,4,0,6354.6,3177.3,2983.0,2.0,2.0,1
255.0,1.0,4,0,4,4,2,0,4,2,5367.1900000000005,2683.5950000000003,1614.0,2.0,2.0,0
256.0,15.0,9,0,3,3,0,3,0,0,9307.24,3102.4133333333334,5509.0,3.0,3.0,1
257.0,0.0,0,0,1,0,0,0,0,0,440.0,440.0,5175.0,1.0,1.0,1
258.0,103.0,841,1044,29,319,841,319,1102,203,154827.11000000002,5338.865862068966,457.0,29.0,48.0,1
259.0,10.0,18,117,0,0,9,0,135,9,32162.79,3573.6433333333334,0.0,9.0,16.0,0
260.0,194.0,32,0,0,0,8,16,24,16,10179.52,1272.44,30.0,8.0,8.0,0
261.0,0.0,0,0,0,0,1,0,1,1,3511.24,3511.24,2526.0,1.0,1.0,1
262.0,0.0,0,0,0,0,0,0,0,1,300.0,300.0,6666.0,1.0,1.0,1
263.0,171.0,80940,92868,16614,63474,91448,11218,100394,14484,1785905.23,12576.797394366196,0.0,142.0,871.0,0
264.0,16.0,0,0,4,0,0,0,0,4,2360.0,1180.0,7519.0,2.0,2.0,1
