DATA_MENSAL,TOTAL_CASOS,TOTAL_DOLAR_FATURADO,ID
2021-02-01,1,3718.84,69
2006-03-01,1,120.0,69
2010-03-01,1,985.0,69
2017-03-01,1,5275.72,69
2018-03-01,1,6671.6,69
2022-03-01,2,10010.08,69
2006-04-01,1,1440.0,69
2012-04-01,2,240.0,69
2014-04-01,1,3614.0,69
2015-04-01,1,5165.14,69
2023-04-01,1,7305.16,69
2013-05-01,3,3240.0,69
2016-05-01,1,3948.8,69
2018-05-01,1,5180.84,69
2023-05-01,4,20382.42,69
2013-06-01,1,1280.0,69
2015-06-01,1,4328.32,69
2018-06-01,1,4702.98,69
2009-07-01,1,440.0,69
2012-07-01,1,7834.0,69
2015-07-01,1,3885.64,69
2019-07-01,1,6219.82,69
2012-08-01,1,1150.0,69
2015-08-01,1,6112.68,69
2022-08-01,1,5919.52,69
2006-09-01,1,4745.0,69
2008-09-01,1,5667.0,69
2011-09-01,5,12380.5,69
2012-09-01,1,1210.0,69
2013-09-01,2,5740.0,69
2024-09-01,1,4002.06,69
2009-10-01,1,1640.0,69
2011-10-01,1,240.0,69
2013-10-01,4,13277.0,69
2014-10-01,1,6150.0,69
2015-10-01,2,12296.84,69
2020-10-01,1,6942.34,69
2021-10-01,1,6160.24,69
2024-10-01,4,10759.41,69
2009-11-01,1,120.0,69
2014-11-01,1,6043.46,69
2015-11-01,1,6137.56,69
2016-11-01,1,2035.1,69
2017-11-01,1,3610.4,69
2018-11-01,1,3745.36,69
2024-11-01,1,1671.9,69
2011-12-01,1,440.0,69
2012-12-01,1,1460.0,69
2013-12-01,1,4961.72,69
2011-03-01,1,411.33,70
2002-04-01,1,476.19,70
2005-06-01,1,62.85,70
2009-09-01,1,305.32,70
2011-01-01,2,7050.0,71
2017-03-01,1,6572.06,71
2009-09-01,1,250.0,71
2022-01-01,1,660.0,72
2019-02-01,1,2241.09,72
2021-02-01,1,349.0,72
2021-05-01,2,2938.0,72
2017-06-01,1,4628.0,72
2018-06-01,1,2405.32,72
2020-06-01,1,3160.0,72
2018-07-01,1,2889.0,72
2020-07-01,1,2670.0,72
2017-08-01,1,4152.75,72
2020-08-01,1,4206.4,72
2022-08-01,1,690.0,72
2018-09-01,1,1804.34,72
2020-09-01,1,2424.0,72
2018-10-01,2,5489.88,72
2021-10-01,1,1499.0,72
2021-11-01,1,989.0,72
2024-11-01,1,115.78,72
2018-12-01,1,2640.0,72
2005-12-01,1,755.0,73
2008-01-01,1,3335.0,74
2010-01-01,1,700.0,74
2012-02-01,1,600.0,74
2017-04-01,1,1310.0,74
2011-01-01,2,2350.0,75
2012-04-01,1,1900.0,75
2017-04-01,1,7697.58,75
2012-02-01,1,0.0,76
2017-04-01,1,349.0,76
2002-01-01,1,-530.0,77
2003-01-01,1,1805.0,77
2007-01-01,1,4315.0,77
2008-02-01,1,890.0,77
2003-03-01,1,2150.0,77
2008-03-01,1,3070.0,77
2010-03-01,1,5660.0,77
2008-04-01,1,2762.0,77
2009-04-01,1,4009.0,77
2008-05-01,2,4215.0,77
2016-05-01,1,6367.52,77
2003-07-01,1,2110.0,77
2008-07-01,1,1350.0,77
2009-07-01,1,2840.0,77
