PLAYER_ID,PLAYER_NAME,GP,PTS_PER_GP,IMC,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,FGM,FGA,FG%,AST,TOV,PF,TEAM_ABBREVIATION,FG_PCT_Restricted_Area,FG_PCT_In_The_Paint_(Non-RA),FG_PCT_Left_Corner_3,FG_PCT_Right_Corner_3,FG_PCT_Mid-Range,FG_PCT_Above_the_Break_3,AST_PER_GP,STL_PER_GP,BLK_PER_GP,MIN_PER_GP
1631243,Mouhamed Gueye,6,4.0,22.02,-25.2,11.1,18.8,14.399999999999999,46.800000000000004,8,23,34.8,4,1,13,ATL,40.0,25.0,0.0,0.0,0.0,75.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,12.166666666666666
1631245,Quenton Jackson,3,0.67,20.43,0.0,0.0,30.8,8.3,53.2,0,1,0.0,2,0,1,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,3.6666666666666665
1631246,Vince Williams Jr.,52,10.02,24.96,-3.0,3.9,16.3,15.5,59.699999999999996,169,379,44.6,175,92,135,MEM,65.4,37.3,39.5,28.1,20.0,39.6,3.3653846153846154,0.9038461538461539,0.6538461538461539,27.634615384615383
1631250,Pete Nance,8,0.38,23.59,-42.2,0.0,13.600000000000001,13.8,21.8,1,6,16.7,0,1,2,CLE,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.125,0.0,3.375
1631254,Kenneth Lofton Jr.,21,4.57,31.82,-1.8,5.6000000000000005,12.2,20.7,53.7,36,78,46.2,33,14,24,UTA,75.0,50.0,0.0,50.0,31.3,30.0,1.5714285714285714,0.2857142857142857,0.23809523809523808,9.428571428571429
1631257,Jermaine Samuels Jr.,14,1.43,26.61,-9.6,5.0,16.7,9.8,67.2,9,14,64.3,3,0,5,HOU,90.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.14285714285714285,4.285714285714286
1631260,AJ Green,56,4.5,23.14,3.5,1.5,8.9,15.0,61.7,83,196,42.3,30,12,49,MIL,85.7,0.0,50.0,40.0,50.0,39.2,0.5357142857142857,0.16071428571428573,0.07142857142857142,10.964285714285714
1631262,Jules Bernard,19,3.89,24.3,6.3,5.6000000000000005,10.6,18.9,54.400000000000006,29,64,45.300000000000004,16,8,14,WAS,56.00000000000001,42.9,66.7,50.0,33.300000000000004,33.300000000000004,0.8421052631578947,0.15789473684210525,0.05263157894736842,7.842105263157895
1631288,Jamal Cain,26,3.73,22.1,-3.4,5.800000000000001,8.7,15.8,54.400000000000006,34,79,43.0,10,8,22,MIA,57.099999999999994,33.300000000000004,20.0,33.300000000000004,55.60000000000001,50.0,0.38461538461538464,0.38461538461538464,0.19230769230769232,9.961538461538462
1631298,Jack White,4,1.5,26.03,-22.1,4.7,13.600000000000001,11.0,18.8,2,16,12.5,1,2,3,MEM,0.0,0.0,0.0,0.0,0.0,25.0,0.25,1.0,0.25,16.0
1631303,Justin Minaya,34,1.79,24.21,-8.6,6.6000000000000005,7.199999999999999,9.3,39.1,22,74,29.7,21,9,35,POR,47.599999999999994,0.0,42.9,20.0,0.0,21.6,0.6176470588235294,0.2647058823529412,0.29411764705882354,11.205882352941176
1631306,Cole Swider,18,2.33,24.22,-11.1,1.0999999999999999,7.5,22.6,54.0,15,38,39.5,5,8,4,MIA,100.0,33.300000000000004,50.0,50.0,50.0,27.3,0.2777777777777778,0.05555555555555555,0.05555555555555555,4.833333333333333
1631311,Lester Quinones,37,4.43,25.33,0.6,4.7,12.6,17.1,53.300000000000004,56,141,39.7,36,17,44,GSW,60.9,30.0,44.4,50.0,40.0,33.300000000000004,0.972972972972973,0.16216216216216217,0.05405405405405406,10.64864864864865
1631321,Sidy Cissoko,12,3.75,23.14,8.7,5.5,8.200000000000001,12.4,56.8,16,33,48.5,10,3,18,SAS,75.0,60.0,0.0,20.0,0.0,0.0,0.8333333333333334,0.5833333333333334,0.25,11.75
